Fach;Ausfall;Ver;Raum
Biologie;;;
Chemie;;;
DEM;;;
Deutsch;;;
Englisch;;;
Französisch;;;
GK;;;
Geschichte;;;
Geographie;;;
Kunst;;;
Mathe;;;
Musik;;;
NWT;;;
Physik;;;
Religion;;;
Sport;;;
